,City,Latitude,Longitude,Tempature,Humidity,Cloudiness,Windspeed,Date of Weather
0,Albany,42.6001,-73.9662,67.87,76,17,4.56,2021-09-11
1,Cherskiy,68.75,161.3,33.28,54,96,1.79,2021-09-11
2,Maumere,-8.6199,122.2111,81.5,71,69,3.51,2021-09-11
3,Chokurdakh,70.6333,147.9167,44.02,55,85,15.32,2021-09-11
4,Luanda,-8.8368,13.2343,72.45,91,66,2.71,2021-09-11
5,Saskylakh,71.9167,114.0833,46.15,66,52,9.98,2021-09-11
6,Punta Arenas,-53.15,-70.9167,44.71,39,0,5.75,2021-09-11
7,Port Blair,11.6667,92.75,81.43,83,78,18.01,2021-09-11
8,Bredasdorp,-34.5322,20.0403,51.12,87,94,1.14,2021-09-11
9,Igrim,63.1906,64.4162,39.27,97,100,11.39,2021-09-11
10,Vila Franca do Campo,37.7167,-25.4333,66.61,74,63,15.52,2021-09-11
11,Pacific Grove,36.6177,-121.9166,86.81,79,1,1.99,2021-09-11
12,Fairbanks,64.8378,-147.7164,58.1,47,1,0.0,2021-09-11
13,San Patricio,28.017,-97.5169,91.81,57,11,14.16,2021-09-11
14,New Norfolk,-42.7826,147.0587,50.76,72,41,3.0,2021-09-11
15,Rikitea,-23.1203,-134.9692,74.34,70,22,12.48,2021-09-11
16,Bluff,-46.6,168.3333,57.79,75,95,23.73,2021-09-11
17,Mataura,-46.1927,168.8643,57.47,56,99,11.54,2021-09-11
18,Escanaba,45.7453,-87.0646,70.23,62,50,7.63,2021-09-11
19,Upernavik,72.7868,-56.1549,25.59,60,0,11.3,2021-09-11
20,Yellowknife,62.456,-114.3525,52.32,66,75,13.8,2021-09-11
21,Kaili,-3.4626,120.2147,71.37,90,85,1.54,2021-09-11
22,Ushuaia,-54.8,-68.3,42.46,45,20,2.3,2021-09-11
23,Vanimo,-2.6741,141.3028,83.64,70,83,7.83,2021-09-11
24,Nuuk,64.1835,-51.7216,43.41,65,75,8.05,2021-09-11
25,Camargo,27.6667,-105.1667,86.7,18,0,15.37,2021-09-11
26,Barrow,71.2906,-156.7887,39.22,93,90,9.22,2021-09-11
27,Swift Current,50.2834,-107.8014,54.41,82,90,12.66,2021-09-11
28,Mar del Plata,-38.0023,-57.5575,53.62,94,90,16.11,2021-09-11
29,Balkhash,46.844,74.9804,62.64,43,96,14.36,2021-09-11
30,Hermanus,-34.4187,19.2345,55.9,87,100,5.75,2021-09-11
31,Vaini,-21.2,-175.2,73.56,94,90,8.05,2021-09-11
32,Cape Town,-33.9258,18.4232,57.88,88,75,1.99,2021-09-11
33,Ponta do Sol,32.6667,-17.1,76.01,86,36,8.34,2021-09-11
34,Khatanga,71.9667,102.5,41.58,68,9,5.53,2021-09-11
35,Hobart,-42.8794,147.3294,51.12,69,40,4.0,2021-09-11
36,Chauk,20.8833,94.8167,76.3,89,96,7.27,2021-09-11
37,Agadir,30.4202,-9.5982,66.65,61,2,5.82,2021-09-11
38,Broome,42.2506,-75.833,69.71,66,6,1.99,2021-09-11
39,Kavieng,-2.5744,150.7967,84.02,69,83,7.18,2021-09-11
40,Busselton,-33.65,115.3333,49.28,75,4,6.87,2021-09-11
41,Palmer,42.1584,-72.3287,68.61,73,51,5.14,2021-09-11
42,Miajadas,39.1513,-5.9084,75.78,45,17,1.32,2021-09-11
43,Ola,59.5833,151.2833,44.2,45,8,1.97,2021-09-11
44,Kyabé,9.4515,18.9449,72.43,95,78,2.33,2021-09-11
45,Jamestown,42.097,-79.2353,70.07,62,40,5.99,2021-09-11
46,Muros,42.7762,-9.0603,69.24,92,45,5.35,2021-09-11
47,Butaritari,3.0707,172.7902,83.66,75,49,20.89,2021-09-11
48,Carnarvon,-24.8667,113.6333,53.67,71,0,12.66,2021-09-11
49,Thompson,55.7435,-97.8558,53.76,54,75,14.97,2021-09-11
50,Kovernino,57.1253,43.8142,50.25,95,97,1.9,2021-09-11
51,Bubaque,11.2833,-15.8333,80.51,78,100,9.78,2021-09-11
52,Salalah,17.0151,54.0924,80.69,83,75,2.3,2021-09-11
53,Korla,41.7597,86.1469,69.24,30,97,5.88,2021-09-11
54,Kapaa,22.0752,-159.319,84.18,68,96,4.0,2021-09-11
55,Tura,25.5198,90.2201,74.53,93,100,2.86,2021-09-11
56,Santa Fe,-31.6333,-60.7,68.0,67,44,5.01,2021-09-11
57,Goderich,43.7501,-81.7165,74.91,64,35,17.27,2021-09-11
58,Saint-Philippe,-21.3585,55.7679,69.35,83,31,16.04,2021-09-11
59,Iquitos,-3.7481,-73.2472,77.04,94,75,2.3,2021-09-11
60,Ambon City,-3.6954,128.1814,80.74,89,20,4.61,2021-09-11
61,Sibut,5.718,19.0739,68.45,96,97,2.73,2021-09-11
62,Mnogovershinnyy,53.9353,139.9242,52.09,65,67,7.99,2021-09-11
63,Mahébourg,-20.4081,57.7,71.89,73,40,16.11,2021-09-11
64,Virginia Beach,36.8529,-75.978,75.22,69,20,5.75,2021-09-11
65,Mehamn,71.0357,27.8492,40.91,77,99,1.32,2021-09-11
66,Chake Chake,-5.2459,39.7666,72.59,85,13,8.03,2021-09-11
67,Faanui,-16.4833,-151.75,77.61,72,44,16.22,2021-09-11
68,Tiksi,71.6872,128.8694,49.33,54,21,13.02,2021-09-11
69,San Luis,-33.295,-66.3356,71.29,26,0,25.32,2021-09-11
70,Yangi Marg`ilon,40.4272,71.7189,68.72,40,37,4.61,2021-09-11
71,Harper,4.375,-7.7169,77.13,88,73,4.61,2021-09-11
72,Tiarei,-17.5333,-149.3333,82.42,65,15,13.87,2021-09-11
73,Atuona,-9.8,-139.0333,78.13,75,10,16.33,2021-09-11
74,Bernalillo,35.05,-106.6673,96.01,13,1,1.01,2021-09-11
75,Kieta,-6.2167,155.6333,85.64,67,83,7.74,2021-09-11
76,East London,-33.0153,27.9116,68.36,84,3,17.38,2021-09-11
77,Ayan,56.45,138.1667,55.71,59,74,10.29,2021-09-11
78,Ponta Delgada,37.7333,-25.6667,66.92,77,20,9.22,2021-09-11
79,Mari-Turek,56.7895,49.6235,46.74,70,100,5.91,2021-09-11
80,Shimoda,34.6667,138.95,77.36,87,100,7.05,2021-09-11
81,Narsaq,60.9167,-46.05,48.42,68,100,21.81,2021-09-11
82,Broken Hill,-31.95,141.4333,56.91,58,40,18.41,2021-09-11
83,Pińczów,50.5205,20.5265,61.38,67,56,4.03,2021-09-11
84,Bereket,39.2446,55.5154,69.53,22,0,13.73,2021-09-11
85,Port Alfred,-33.5906,26.891,65.17,80,8,15.84,2021-09-11
86,Qaanaaq,77.484,-69.3632,19.85,62,19,8.08,2021-09-11
87,Comodoro Rivadavia,-45.8667,-67.5,55.26,67,0,3.44,2021-09-11
88,Sujiatun,41.6592,123.3392,59.18,88,0,8.95,2021-09-11
89,Bethel,41.3712,-73.414,70.56,83,33,4.47,2021-09-11
90,Mount Gambier,-37.8333,140.7667,48.11,87,75,10.36,2021-09-11
91,Arraial do Cabo,-22.9661,-42.0278,71.17,92,87,5.66,2021-09-11
92,Bidor,4.1139,101.2884,75.18,90,100,1.52,2021-09-11
93,Severo-Kuril'sk,50.6789,156.125,50.52,70,100,5.41,2021-09-11
94,Zharkent,44.1628,80.0,56.53,36,7,2.8,2021-09-11
95,Poum,-20.2333,164.0167,72.99,62,19,17.43,2021-09-11
96,Laas,46.6166,10.7002,63.48,87,66,1.25,2021-09-11
