,City,Latitude,Longitude,Tempature,Humidity,Cloudiness,Windspeed,Country,Date of Weather
0,Donegal,54.65,-8.1167,68.04,63,90,3.56,IE,09-12-2021
1,Ushuaia,-54.8,-68.3,42.46,70,75,0.0,AR,09-12-2021
2,Bairiki Village,1.3292,172.9752,82.06,74,97,21.88,KI,09-12-2021
3,George Town,5.4112,100.3354,80.89,82,20,0.0,MY,09-12-2021
4,Adrar,20.5022,-10.0711,104.59,15,89,10.74,MR,09-12-2021
5,Nogales,31.3086,-110.9422,84.07,64,1,0.0,MX,09-12-2021
6,Isangel,-19.55,169.2667,72.25,83,51,8.41,VU,09-12-2021
7,Bethel,41.3712,-73.414,77.2,74,1,3.0,US,09-12-2021
8,Busselton,-33.65,115.3333,48.09,80,97,3.8,AU,09-12-2021
9,Tuatapere,-46.1333,167.6833,47.82,86,95,8.25,NZ,09-12-2021
10,Tanete,-3.9443,119.7848,75.07,93,100,0.07,ID,09-12-2021
11,Touros,-5.1989,-35.4608,86.9,60,65,18.25,BR,09-12-2021
12,Erenhot,43.6475,111.9767,59.76,54,100,14.74,CN,09-12-2021
13,Ribeira Grande,38.5167,-28.7,73.8,60,40,8.05,PT,09-12-2021
14,Upernavik,72.7868,-56.1549,34.05,65,100,28.07,GL,09-12-2021
15,Rzhanitsa,53.4284,33.923,72.05,60,81,3.27,RU,09-12-2021
16,Atuona,-9.8,-139.0333,77.88,72,6,23.31,PF,09-12-2021
17,Saint-Philippe,-21.3585,55.7679,71.19,81,43,17.58,RE,09-12-2021
18,Mataura,-46.1927,168.8643,47.48,98,100,4.21,NZ,09-12-2021
19,Ulaangom,49.9811,92.0667,58.44,27,66,3.98,MN,09-12-2021
20,Mount Isa,-20.7333,139.5,71.37,37,40,0.0,AU,09-12-2021
21,Barrow,71.2906,-156.7887,35.62,93,90,4.61,US,09-12-2021
22,Vao,-22.6667,167.4833,68.45,64,39,12.17,NC,09-12-2021
23,Fare,-16.7,-151.0167,77.13,71,63,17.96,PF,09-12-2021
